subject,sex,testorder,3.7.2022.MASS,3.9.2022.MASS,3.14.2022.MASS,3.16.2022.MASS,3.21.2022.MASS,3.23.2022.MASS,3.25.2022.MASS,stroking,grasping,stroking.day1.trial1,stroking.day1.trial2,stroking.day1.trial3,stroking.day1.trial4,stroking.day1.trial5,stroking.day2.trial1,stroking.day2.trial2,stroking.day2.trial3,stroking.day2.trial4,stroking.day2.trial5,stroking.day3.trial1,stroking.day3.trial2,stroking.day3.trial3,stroking.day3.trial4,stroking.day3.trial5,stroking.day4.trial1,stroking.day4.trial2,stroking.day4.trial3,stroking.day4.trial4,stroking.day4.trial5,stroking.day5.trial1,stroking.day5.trial2,stroking.day5.trial3,stroking.day5.trial4,stroking.day5.trial5,stroking.day6.trial1,stroking.day6.trial2,stroking.day6.trial3,stroking.day6.trial4,stroking.day6.trial5,grasping.day1.trial1,grasping.day1.trial2,grasping.day1.trial3,grasping.day1.trial4,grasping.day1.trial5,grasping.day2.trial1,grasping.day2.trial2,grasping.day2.trial3,grasping.day2.trial4,grasping.day2.trial5,grasping.day3.trial1,grasping.day3.trial2,grasping.day3.trial3,grasping.day3.trial4,grasping.day3.trial5,grasping.day4.trial1,grasping.day4.trial2,grasping.day4.trial3,grasping.day4.trial4,grasping.day4.trial5,grasping.day5.trial1,grasping.day5.trial2,grasping.day5.trial3,grasping.day5.trial4,grasping.day5.trial5,grasping.day6.trial1,grasping.day6.trial2,grasping.day6.trial3,grasping.day6.trial4,grasping.day6.trial5,stroking.day1.avg,stroking.day2.avg,stroking.day3.avg,stroking.day4.avg,stroking.day5.avg,stroking.day6.avg,grasping.day1.avg,grasping.day2.avg,grasping.day3.avg,grasping.day4.avg,grasping.day5.avg,grasping.day6.avg,stroking.total.avg,grasping.total.avg,synch.day1.avg,synch.day2.avg,synch.day3.avg,synch.day4.avg,synch.day5.avg,synch.day6.avg,asynch.day1.avg,asynch.day2.avg,asynch.day3.avg,asynch.day4.avg,asynch.day5.avg,asynch.day6.avg,real.day1.avg,real.day2.avg,real.day3.avg,real.day4.avg,real.day5.avg,real.day6.avg,fake.day1.avg,fake.day2.avg,fake.day3.avg,fake.day4.avg,fake.day5.avg,fake.day6.avg,synch.total.avg,asynch.total.avg,fake.total.avg,real.total.avg
a1,Female,AB,142,152,160,162,172,180,180,synchronous,fake,73.3474,75.5337,73.497,76.8172,NA,74.7545,74.9143,76.2534,75.741,75.4355,78.2017,77.099,78.0316,77.734,77.5721,78.462,77.8769,78.4612,79.1463,78.323,75.3893,74.2511,74.9347,73.7032,74.6896,70.5659,70.9696,71.0144,73.0077,72.2305,75.0092,75.3142,75.4745,74.9613,75.1802,76.0852,66.4823,75.0671,71.8246,75.8828,77.3992,77.1085,77.3096,77.4092,77.5567,74.2424,74.7314,74.9058,74.4198,75.5394,70.5095,71.503,72.2128,73.2253,72.2049,72.9757,72.5214,78.1515,78.4083,78.3008,74.798825,75.41974,77.72768,78.45388,74.59358,71.55762,75.18788,73.0684,77.35664,74.76776,71.9311,76.07154,75.42522083333333,74.73055333333333,74.798825,75.41974,77.72768,78.45388,74.59358,71.55762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.18788,73.0684,77.35664,74.76776,71.9311,76.07154,75.42522083333333,NA,74.73055333333333,NA
a2,Female,BA,143,146,164,165,180,185,180,asynchronous,real,74.8534,76.3837,76.6142,74.8676,74.9749,75.2556,72.1568,72.1218,71.3488,72.0685,73.6122,73.6914,72.893,73.0312,74.6659,77.1992,76.5988,76.3326,76.5067,76.1336,77.0272,76.9089,78.4865,77.3437,77.0395,76.1075,75.3122,75.6183,75.9967,74.8744,77.9823,77.984,78.1521,NA,NA,76.3248,76.4046,76.8042,77.1587,77.9404,75.6005,76.5023,75.3674,75.8688,75.5514,78.2557,78.3795,78.0546,77.8699,77.3355,77.1115,78.5297,78.3414,78.15,78.2926,75.7519,77.639,76.9307,75.9084,75.1643,75.53876,72.5903,73.57874,76.55418,77.36116,75.58182000000001,78.03946666666667,76.92654,75.77808,77.97904,78.08504,76.27886,75.20082666666667,77.18117111111111,NA,NA,NA,NA,NA,NA,75.53876,72.5903,73.57874,76.55418,77.36116,75.58182000000001,78.03946666666667,76.92654,75.77808,77.97904,78.08504,76.27886,NA,NA,NA,NA,NA,NA,NA,75.20082666666667,NA,77.18117111111111
b1,Female,BA,138,143,155,163,174,178,177,synchronous,real,75.4884,74.5963,75.1148,75.3874,75.4336,74.9749,74.8158,73.1656,68.902,68.9493,73.331,74.9755,75.1361,74.7388,74.6139,75.1495,75.5975,77.1078,76.3312,76.9668,77.1857,77.5391,77.963,77.3457,76.3089,77.7254,76.4617,78.2918,78.4478,77.002,78.7328,NA,NA,NA,NA,77.3172,NA,NA,NA,NA,73.8297,NA,NA,NA,NA,77.2269,NA,NA,NA,NA,78.4071,NA,NA,NA,NA,75.0363,74.893,75.2764,70.8767,72.4385,75.2041,72.16152,74.55906,76.23056,77.26848,77.58574,78.7328,77.3172,73.8297,77.2269,78.4071,73.70418,75.501576666666665,76.53631333333334,75.2041,72.16152,74.55906,76.23056,77.26848,77.58574,NA,NA,NA,NA,NA,NA,78.7328,77.3172,73.8297,77.2269,78.4071,73.70418,NA,NA,NA,NA,NA,NA,75.501576666666665,NA,NA,76.53631333333334
b2,Female,AB,154,162,173,180,200,201,205,synchronous,real,77.8464,NA,NA,NA,NA,73.8683,73.4727,73.7033,75.3119,72.8325,74.4246,77.8471,77.2164,73.6037,74.9388,79.2372,74.9819,75.8881,78.0487,76.1417,73.0284,72.7965,77.3393,76.851,74.147,70.4068,70.2967,67.597,70.2829,69.7205,74.9551,75.8185,73.7127,74.4036,75.2535,74.303,73.0266,74.2474,72.3254,71.6172,74.229,74.8063,74.4704,74.6499,75.385,76.73,76.8809,77.8395,76.5749,75.5643,76.9528,77.4609,77.1822,73.3546,78.0228,76.7358,77.0655,77.3881,78.0198,78.6907,77.8464,73.83774,75.60612,76.85952,74.83244,69.66078,74.82868,73.10392,74.70812,76.71792,76.59466,77.57998,74.77383333333333,75.58888,77.8464,73.83774,75.60612,76.85952,74.83244,69.66078,NA,NA,NA,NA,NA,NA,74.82868,73.10392,74.70812,76.71792,76.59466,77.57998,NA,NA,NA,NA,NA,NA,74.77383333333333,NA,NA,75.58888
c1,Female,BA,142,145,161,162,177,179,201,synchronous,fake,71.5575,70.6908,74.7088,71.7933,71.1319,72.5482,71.7359,73.4644,71.4258,71.5802,75.7162,75.6129,75.4684,75.9077,76.3041,75.4472,75.9951,75.4932,75.9389,75.8217,77.8409,76.5147,77.6078,76.5061,76.2006,76.3297,75.7756,76.1377,76.3804,76.1085,77.4531,77.2444,78.5752,73.4583,77.2293,76.4302,77.1288,76.859,77.5564,76.5406,72.9053,75.0286,75.4382,74.9678,73.9968,77.7918,77.0639,78.9982,78.81,73.5921,76.3926,78.2082,77.9113,78.5458,78.282,73.1678,74.594,75.5074,76.2052,75.7388,71.97646,72.1509,75.80186,75.73922,76.93402,76.14638,76.79205999999999,76.90299999999999,74.46734,77.2512,77.86798,75.04264,74.79147333333333,76.38737,71.97646,72.1509,75.80186,75.73922,76.93402,76.14638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.79205999999999,76.90299999999999,74.46734,77.2512,77.86798,75.04264,74.79147333333333,NA,76.38737,NA
c2,Female,BA,148,155,172,173,190,200,206,asynchronous,real,74.8419,75.349,74.3659,74.7746,74.4956,69.5997,72.5589,70.9244,70.98,72.3464,75.794,76.5851,76.9554,77.0386,75.9284,75.3935,75.8269,75.895,75.627,74.4688,73.8725,76.0512,73.4929,76.5246,74.902,76.507,75.0528,74.249,73.8463,73.695,73.6739,80.9642,74.3217,74.9834,74.4191,75.8381,76.4505,75.8235,77.0617,76.5181,74.637200000000007,73.963,69.6502,72.9624,69.672,73.2226,73.9008,76.9402,75.4103,74.4428,76.3326,76.7969,77.032,75.5252,76.8712,75.2908,75.1609,74.7272,74.9179,73.2927,74.7654,71.28188,76.4603,75.44224,74.96864000000001,74.67002,75.67246,76.33838,72.17696,74.78334000000001,76.51158,74.6779,74.59808,75.02677,NA,NA,NA,NA,NA,NA,74.7654,71.28188,76.4603,75.44224,74.96864000000001,74.67002,75.67246,76.33838,72.17696,74.78334000000001,76.51158,74.6779,NA,NA,NA,NA,NA,NA,NA,74.59808,NA,75.02677
d1,Female,AB,153,162,187,185,205,212,210,asynchronous,fake,74.0143,73.213,73.7941,70.078,73.5046,73.4573,74.0579,74.2677,73.8246,73.7757,66.8465,75.4304,76.1074,73.1601,72.2237,75.061,71.2668,72.2435,71.1025,74.3348,76.3677,76.1167,76.7847,76.1661,75.8161,73.5603,74.0134,74.0602,74.0528,73.4059,74.7942,77.7563,75.2844,74.7813,75.512200000000007,75.3871,75.552,76.3444,72.9322,72.852,69.7707,72.4609,70.9899,71.1817,73.0768,70.3759,69.0573,71.0342,67.867,70.1264,71.3391,71.4495,71.6927,73.7056,70.5382,73.6532,70.6283,71.2305,70.5339,71.1724,72.9208,73.87664000000001,72.75362,72.80172,76.25026,73.81852,75.62568,74.61354,71.49600000000001,69.69216,71.74502,71.44366,73.73692666666668,72.43601,NA,NA,NA,NA,NA,NA,72.9208,73.87664000000001,72.75362,72.80172,76.25026,73.81852,NA,NA,NA,NA,NA,NA,75.62568,74.61354,71.49600000000001,69.69216,71.74502,71.44366,NA,73.73692666666668,72.43601,NA
d2,Female,AB,165,172,190,196,214,221,204,asynchronous,real,70.9215,70.131,69.1089,70.7023,NA,75.7285,74.2614,74.0964,76.5373,74.5798,NA,NA,NA,NA,NA,76.253,75.5205,73.7329,71.9693,74.8483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.215925,75.04068,NA,74.4648,NA,NA,NA,NA,NA,NA,NA,NA,73.24046833333333,NA,NA,NA,NA,NA,NA,NA,70.215925,75.04068,NA,74.4648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.24046833333333,NA,NA
e1,Female,BA,137,140,148,150,157,163,169,synchronous,fake,76.287,74.4571,76.5017,74.6064,75.8614,73.1546,70.1765,71.7658,70.9869,70.6605,74.4047,73.7994,72.0488,72.9029,74.2958,77.3377,77.004,75.836,76.3739,76.151,75.1648,75.6099,75.9994,75.2579,76.8749,76.201,77.4331,77.2016,77.2714,77.0959,72.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.443,NA,NA,NA,NA,75.1743,76.9239,76.2635,77.358,78.2112,77.0563,77.065,73.7801,75.9674,74.5033,75.1223,75.7081,72.0867,NA,NA,75.54272,71.34886,73.49032,76.54052,75.78138,77.0406,72.177,NA,76.443,76.78618,75.67442,74.3057,74.9574,75.07726,75.54272,71.34886,73.49032,76.54052,75.78138,77.0406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.177,NA,76.443,76.78618,75.67442,74.3057,74.9574,NA,75.07726,NA
e2,Female,AB,144,150,170,170,178,183,172,asynchronous,real,70.9669,73.3054,71.2198,73.7558,69.8512,72.7974,73.638,73.0249,73.0207,73.4864,69.8626,68.1727,72.9184,74.2487,68.6749,78.7162,77.6193,78.2526,78.6077,78.1059,78.462,74.7916,77.4197,75.9824,76.8127,76.3217,77.0633,72.4652,75.5467,74.7395,73.1182,76.8785,76.3193,79.964,73.8446,73.154,72.0902,71.844,71.9885,71.7036,77.8214,75.9486,76.9251,75.9252,76.6024,74.0627,73.7721,75.4413,75.2533,74.3844,74.5425,72.5999,75.2863,71.826,71.8836,75.2495,76.1166,75.0948,72.5759,75.837,71.819820000000007,73.19348000000001,70.77546,78.26034,76.69368,75.22728000000001,76.02492,72.15606,76.64454,74.58276,73.22766,74.97476,74.32834333333334,74.60178333333333,NA,NA,NA,NA,NA,NA,71.819820000000007,73.19348000000001,70.77546,78.26034,76.69368,75.22728000000001,76.02492,72.15606,76.64454,74.58276,73.22766,74.97476,NA,NA,NA,NA,NA,NA,NA,74.32834333333334,NA,74.60178333333333
