trial,day,condition,subject,sex,elongation
synch.day8.e1.trial5,8,Synchronous,e1,Female,70.6605
synch.day8.i1.trial1,8,Synchronous,i1,Male,74.3907
synch.day8.i1.trial2,8,Synchronous,i1,Male,75.2308
synch.day8.i1.trial3,8,Synchronous,i1,Male,74.732
synch.day8.i1.trial4,8,Synchronous,i1,Male,73.9452
synch.day8.i1.trial5,8,Synchronous,i1,Male,74.1407
synch.day8.i2.trial1,8,Synchronous,i2,Male,76.5427
synch.day8.i2.trial2,8,Synchronous,i2,Male,77.9907
synch.day8.i2.trial3,8,Synchronous,i2,Male,78.8203
synch.day8.i2.trial4,8,Synchronous,i2,Male,78.6258
synch.day8.i2.trial5,8,Synchronous,i2,Male,77.3051
synch.day8.j2.trial1,8,Synchronous,j2,Male,78.4028
synch.day8.j2.trial2,8,Synchronous,j2,Male,78.1484
synch.day8.j2.trial3,8,Synchronous,j2,Male,79.0149
synch.day8.j2.trial4,8,Synchronous,j2,Male,77.8893
synch.day8.j2.trial5,8,Synchronous,j2,Male,76.3699
synch.day9.b1.trial1,9,Synchronous,b1,Female,73.331
synch.day9.b1.trial2,9,Synchronous,b1,Female,74.9755
synch.day9.b1.trial3,9,Synchronous,b1,Female,75.1361
synch.day9.b1.trial4,9,Synchronous,b1,Female,74.7388
synch.day9.b1.trial5,9,Synchronous,b1,Female,74.6139
synch.day9.c1.trial1,9,Synchronous,c1,Female,75.7162
synch.day9.c1.trial2,9,Synchronous,c1,Female,75.6129
synch.day9.c1.trial3,9,Synchronous,c1,Female,75.4684
synch.day9.c1.trial4,9,Synchronous,c1,Female,75.9077
synch.day9.c1.trial5,9,Synchronous,c1,Female,76.3041
synch.day9.e1.trial1,9,Synchronous,e1,Female,74.4047
synch.day9.e1.trial2,9,Synchronous,e1,Female,73.7994
synch.day9.e1.trial3,9,Synchronous,e1,Female,72.0488
synch.day9.e1.trial4,9,Synchronous,e1,Female,72.9029
synch.day9.e1.trial5,9,Synchronous,e1,Female,74.2958
synch.day9.i1.trial1,9,Synchronous,i1,Male,75.804
synch.day9.i1.trial2,9,Synchronous,i1,Male,76.103
synch.day9.i1.trial3,9,Synchronous,i1,Male,75.5898
synch.day9.i1.trial4,9,Synchronous,i1,Male,76.0711
synch.day9.i1.trial5,9,Synchronous,i1,Male,75.491
synch.day9.i2.trial1,9,Synchronous,i2,Male,78.0731
synch.day9.i2.trial2,9,Synchronous,i2,Male,79.0338
synch.day9.i2.trial3,9,Synchronous,i2,Male,77.8042
synch.day9.i2.trial4,9,Synchronous,i2,Male,78.7013
synch.day9.i2.trial5,9,Synchronous,i2,Male,79.1179
synch.day9.j2.trial1,9,Synchronous,j2,Male,79.608
synch.day9.j2.trial2,9,Synchronous,j2,Male,77.5117
synch.day9.j2.trial3,9,Synchronous,j2,Male,78.8939
synch.day9.j2.trial4,9,Synchronous,j2,Male,78.738
synch.day9.j2.trial5,9,Synchronous,j2,Male,77.358
synch.day10.b1.trial1,10,Synchronous,b1,Female,75.1495
synch.day10.b1.trial2,10,Synchronous,b1,Female,75.5975
synch.day10.b1.trial3,10,Synchronous,b1,Female,77.1078
synch.day10.b1.trial4,10,Synchronous,b1,Female,76.3312
synch.day10.b1.trial5,10,Synchronous,b1,Female,76.9668
synch.day10.c1.trial1,10,Synchronous,c1,Female,75.4472
synch.day10.c1.trial2,10,Synchronous,c1,Female,75.9951
synch.day10.c1.trial3,10,Synchronous,c1,Female,75.4932
synch.day10.c1.trial4,10,Synchronous,c1,Female,75.9389
synch.day10.c1.trial5,10,Synchronous,c1,Female,75.8217
synch.day10.e1.trial1,10,Synchronous,e1,Female,77.3377
synch.day10.e1.trial2,10,Synchronous,e1,Female,77.004
synch.day10.e1.trial3,10,Synchronous,e1,Female,75.836
synch.day10.e1.trial4,10,Synchronous,e1,Female,76.3739
synch.day10.e1.trial5,10,Synchronous,e1,Female,76.151
synch.day10.i1.trial1,10,Synchronous,i1,Male,78.933
synch.day10.i1.trial2,10,Synchronous,i1,Male,77.6704
synch.day10.i1.trial3,10,Synchronous,i1,Male,76.4466
synch.day10.i1.trial4,10,Synchronous,i1,Male,77.5752
synch.day10.i1.trial5,10,Synchronous,i1,Male,77.4824
synch.day10.i2.trial1,10,Synchronous,i2,Male,78.2324
synch.day10.i2.trial2,10,Synchronous,i2,Male,78.4686
synch.day10.i2.trial3,10,Synchronous,i2,Male,76.6209
synch.day10.i2.trial4,10,Synchronous,i2,Male,79.313
synch.day10.i2.trial5,10,Synchronous,i2,Male,77.3352
synch.day10.j2.trial1,10,Synchronous,j2,Male,80.6328
synch.day10.j2.trial2,10,Synchronous,j2,Male,80.3955
synch.day10.j2.trial3,10,Synchronous,j2,Male,81.4861
synch.day10.j2.trial4,10,Synchronous,j2,Male,81.9001
synch.day10.j2.trial5,10,Synchronous,j2,Male,79.8836
synch.day11.b1.trial1,11,Synchronous,b1,Female,77.1857
synch.day11.b1.trial2,11,Synchronous,b1,Female,77.5391
synch.day11.b1.trial3,11,Synchronous,b1,Female,77.963
synch.day11.b1.trial4,11,Synchronous,b1,Female,77.3457
synch.day11.b1.trial5,11,Synchronous,b1,Female,76.3089
synch.day11.c1.trial1,11,Synchronous,c1,Female,77.8409
synch.day11.c1.trial2,11,Synchronous,c1,Female,76.5147
synch.day11.c1.trial3,11,Synchronous,c1,Female,77.6078
synch.day11.c1.trial4,11,Synchronous,c1,Female,76.5061
synch.day11.c1.trial5,11,Synchronous,c1,Female,76.2006
synch.day11.e1.trial1,11,Synchronous,e1,Female,75.1648
synch.day11.e1.trial2,11,Synchronous,e1,Female,75.6099
synch.day11.e1.trial3,11,Synchronous,e1,Female,75.9994
synch.day11.e1.trial4,11,Synchronous,e1,Female,75.2579
synch.day11.e1.trial5,11,Synchronous,e1,Female,76.8749
synch.day11.i1.trial1,11,Synchronous,i1,Male,76.8026
synch.day11.i1.trial2,11,Synchronous,i1,Male,76.779
synch.day11.i1.trial3,11,Synchronous,i1,Male,76.3476
synch.day11.i1.trial4,11,Synchronous,i1,Male,75.4694
synch.day11.i1.trial5,11,Synchronous,i1,Male,75.0103
synch.day11.i2.trial1,11,Synchronous,i2,Male,78.9351
synch.day11.i2.trial2,11,Synchronous,i2,Male,78.9601
synch.day11.i2.trial3,11,Synchronous,i2,Male,79.183
synch.day11.i2.trial4,11,Synchronous,i2,Male,77.7899
synch.day11.i2.trial5,11,Synchronous,i2,Male,75.758
synch.day11.j2.trial1,11,Synchronous,j2,Male,77.6574
synch.day11.j2.trial2,11,Synchronous,j2,Male,77.7903
synch.day11.j2.trial3,11,Synchronous,j2,Male,78.0057
synch.day11.j2.trial4,11,Synchronous,j2,Male,77.3877
synch.day11.j2.trial5,11,Synchronous,j2,Male,78.4168
synch.day12.b1.trial1,12,Synchronous,b1,Female,77.7254
synch.day12.b1.trial2,12,Synchronous,b1,Female,76.4617
synch.day12.b1.trial3,12,Synchronous,b1,Female,78.2918
synch.day12.b1.trial4,12,Synchronous,b1,Female,78.4478
synch.day12.b1.trial5,12,Synchronous,b1,Female,77.002
synch.day12.c1.trial1,12,Synchronous,c1,Female,76.3297
synch.day12.c1.trial2,12,Synchronous,c1,Female,75.7756
synch.day12.c1.trial3,12,Synchronous,c1,Female,76.1377
synch.day12.c1.trial4,12,Synchronous,c1,Female,76.3804
synch.day12.c1.trial5,12,Synchronous,c1,Female,76.1085
synch.day12.e1.trial1,12,Synchronous,e1,Female,76.201
synch.day12.e1.trial2,12,Synchronous,e1,Female,77.4331
synch.day12.e1.trial3,12,Synchronous,e1,Female,77.2016
synch.day12.e1.trial4,12,Synchronous,e1,Female,77.2714
synch.day12.e1.trial5,12,Synchronous,e1,Female,77.0959
synch.day12.i1.trial1,12,Synchronous,i1,Male,78.8046
synch.day12.i1.trial2,12,Synchronous,i1,Male,79.0113
synch.day12.i1.trial3,12,Synchronous,i1,Male,77.871
synch.day12.i1.trial4,12,Synchronous,i1,Male,76.8051
synch.day12.i1.trial5,12,Synchronous,i1,Male,75.9127
synch.day12.i2.trial1,12,Synchronous,i2,Male,80.1874
synch.day12.i2.trial2,12,Synchronous,i2,Male,78.9756
synch.day12.i2.trial3,12,Synchronous,i2,Male,78.8044
synch.day12.i2.trial4,12,Synchronous,i2,Male,76.4761
synch.day12.i2.trial5,12,Synchronous,i2,Male,77.7646
synch.day12.j2.trial1,12,Synchronous,j2,Male,79.0292
synch.day12.j2.trial2,12,Synchronous,j2,Male,78.2992
synch.day12.j2.trial3,12,Synchronous,j2,Male,78.4994
synch.day12.j2.trial4,12,Synchronous,j2,Male,77.94
synch.day12.j2.trial5,12,Synchronous,j2,Male,77.7031
fake.day1.c1.trial1,1,Fake Tail,c1,Female,77.4531
fake.day1.c1.trial2,1,Fake Tail,c1,Female,77.2444
fake.day1.c1.trial3,1,Fake Tail,c1,Female,78.5752
fake.day1.c1.trial4,1,Fake Tail,c1,Female,73.4583
fake.day1.c1.trial5,1,Fake Tail,c1,Female,77.2293
fake.day1.e1.trial1,1,Fake Tail,e1,Female,72.177
fake.day1.f1.trial1,1,Fake Tail,f1,Female,70.714
fake.day1.f1.trial2,1,Fake Tail,f1,Female,70.8115
fake.day1.f1.trial3,1,Fake Tail,f1,Female,75.1959
fake.day1.f1.trial4,1,Fake Tail,f1,Female,71.391
fake.day1.f1.trial5,1,Fake Tail,f1,Female,70.5815
fake.day1.i1.trial1,1,Fake Tail,i1,Male,76.2606
fake.day1.i1.trial2,1,Fake Tail,i1,Male,78.3358
fake.day1.i1.trial3,1,Fake Tail,i1,Male,69.9258
fake.day1.i1.trial4,1,Fake Tail,i1,Male,71.4552
fake.day1.i1.trial5,1,Fake Tail,i1,Male,74.5513
fake.day1.k1.trial1,1,Fake Tail,k1,Male,72.0321
fake.day1.k1.trial2,1,Fake Tail,k1,Male,72.5805
fake.day1.k1.trial3,1,Fake Tail,k1,Male,73.892
fake.day1.k1.trial4,1,Fake Tail,k1,Male,73.9825
fake.day1.k1.trial5,1,Fake Tail,k1,Male,73.461
fake.day2.c1.trial1,2,Fake Tail,c1,Female,76.4302
fake.day2.c1.trial2,2,Fake Tail,c1,Female,77.1288
fake.day2.c1.trial3,2,Fake Tail,c1,Female,76.859
fake.day2.c1.trial4,2,Fake Tail,c1,Female,77.5564
fake.day2.c1.trial5,2,Fake Tail,c1,Female,76.5406
fake.day2.f1.trial1,2,Fake Tail,f1,Female,72.4138
fake.day2.f1.trial2,2,Fake Tail,f1,Female,73.6771
fake.day2.f1.trial3,2,Fake Tail,f1,Female,72.3034
fake.day2.f1.trial4,2,Fake Tail,f1,Female,72.8238
fake.day2.f1.trial5,2,Fake Tail,f1,Female,73.8192
fake.day2.i1.trial1,2,Fake Tail,i1,Male,74.9205
fake.day2.i1.trial2,2,Fake Tail,i1,Male,73.9163
fake.day2.i1.trial3,2,Fake Tail,i1,Male,73.8907
fake.day2.j2.trial1,2,Fake Tail,j2,Male,71.8272
fake.day2.j2.trial2,2,Fake Tail,j2,Male,71.2134
fake.day2.j2.trial3,2,Fake Tail,j2,Male,71.9933
fake.day2.j2.trial4,2,Fake Tail,j2,Male,68.6015
fake.day2.j2.trial5,2,Fake Tail,j2,Male,76.2092
fake.day2.k1.trial1,2,Fake Tail,k1,Male,71.3759
fake.day2.k1.trial2,2,Fake Tail,k1,Male,70.7459
fake.day2.k1.trial3,2,Fake Tail,k1,Male,69.9846
fake.day2.k1.trial4,2,Fake Tail,k1,Male,73.5766
fake.day2.k1.trial5,2,Fake Tail,k1,Male,75.2217
fake.day3.c1.trial1,3,Fake Tail,c1,Female,72.9053
fake.day3.c1.trial2,3,Fake Tail,c1,Female,75.0286
fake.day3.c1.trial3,3,Fake Tail,c1,Female,75.4382
fake.day3.c1.trial4,3,Fake Tail,c1,Female,74.9678
fake.day3.c1.trial5,3,Fake Tail,c1,Female,73.9968
fake.day3.e1.trial1,3,Fake Tail,e1,Female,76.443
fake.day3.f1.trial1,3,Fake Tail,f1,Female,61.9059
fake.day3.f1.trial2,3,Fake Tail,f1,Female,63.4394
fake.day3.f1.trial3,3,Fake Tail,f1,Female,64.7057
fake.day3.f1.trial4,3,Fake Tail,f1,Female,69.6816
fake.day3.j2.trial1,3,Fake Tail,j2,Male,69.3018
fake.day3.j2.trial2,3,Fake Tail,j2,Male,69.1589
fake.day3.j2.trial3,3,Fake Tail,j2,Male,68.5539
fake.day3.j2.trial4,3,Fake Tail,j2,Male,71.1078
fake.day3.j2.trial5,3,Fake Tail,j2,Male,70.2402
fake.day3.k1.trial1,3,Fake Tail,k1,Male,65.6724
fake.day3.k1.trial2,3,Fake Tail,k1,Male,72.6791
fake.day3.k1.trial3,3,Fake Tail,k1,Male,70.2239
fake.day3.k1.trial4,3,Fake Tail,k1,Male,72.1285
fake.day3.k1.trial5,3,Fake Tail,k1,Male,65.715
fake.day4.c1.trial1,4,Fake Tail,c1,Female,77.7918
fake.day4.c1.trial2,4,Fake Tail,c1,Female,77.0639
fake.day4.c1.trial3,4,Fake Tail,c1,Female,78.9982
fake.day4.c1.trial4,4,Fake Tail,c1,Female,78.81
fake.day4.c1.trial5,4,Fake Tail,c1,Female,73.5921
fake.day4.e1.trial1,4,Fake Tail,e1,Female,75.1743
fake.day4.e1.trial2,4,Fake Tail,e1,Female,76.9239
fake.day4.e1.trial3,4,Fake Tail,e1,Female,76.2635
fake.day4.e1.trial4,4,Fake Tail,e1,Female,77.358
fake.day4.e1.trial5,4,Fake Tail,e1,Female,78.2112
fake.day4.f1.trial1,4,Fake Tail,f1,Female,74.3108
fake.day4.f1.trial2,4,Fake Tail,f1,Female,73.4544
fake.day4.f1.trial3,4,Fake Tail,f1,Female,72.8143
fake.day4.f1.trial4,4,Fake Tail,f1,Female,73.5551
fake.day4.f1.trial5,4,Fake Tail,f1,Female,72.5088
fake.day4.j2.trial1,4,Fake Tail,j2,Male,70.8694
fake.day4.j2.trial2,4,Fake Tail,j2,Male,71.4338
fake.day4.j2.trial3,4,Fake Tail,j2,Male,72.319
fake.day4.j2.trial4,4,Fake Tail,j2,Male,71.4213
fake.day4.j2.trial5,4,Fake Tail,j2,Male,71.1988
fake.day4.k1.trial1,4,Fake Tail,k1,Male,74.839
fake.day4.k1.trial2,4,Fake Tail,k1,Male,74.5299
fake.day4.k1.trial3,4,Fake Tail,k1,Male,69.6836
fake.day4.k1.trial4,4,Fake Tail,k1,Male,71.6214
fake.day4.k1.trial5,4,Fake Tail,k1,Male,70.8892
fake.day5.c1.trial1,5,Fake Tail,c1,Female,76.3926
fake.day5.c1.trial2,5,Fake Tail,c1,Female,78.2082
fake.day5.c1.trial3,5,Fake Tail,c1,Female,77.9113
fake.day5.c1.trial4,5,Fake Tail,c1,Female,78.5458
fake.day5.c1.trial5,5,Fake Tail,c1,Female,78.282
fake.day5.e1.trial1,5,Fake Tail,e1,Female,77.0563
fake.day5.e1.trial2,5,Fake Tail,e1,Female,77.065
fake.day5.e1.trial3,5,Fake Tail,e1,Female,73.7801
fake.day5.e1.trial4,5,Fake Tail,e1,Female,75.9674
fake.day5.e1.trial5,5,Fake Tail,e1,Female,74.5033
fake.day5.f1.trial1,5,Fake Tail,f1,Female,74.3717
fake.day5.f1.trial2,5,Fake Tail,f1,Female,74.4309
fake.day5.f1.trial3,5,Fake Tail,f1,Female,74.8397
fake.day6.c1.trial1,6,Fake Tail,c1,Female,73.1678
fake.day6.c1.trial2,6,Fake Tail,c1,Female,74.594
fake.day6.c1.trial3,6,Fake Tail,c1,Female,75.5074
fake.day6.c1.trial4,6,Fake Tail,c1,Female,76.2052
fake.day6.c1.trial5,6,Fake Tail,c1,Female,75.7388
fake.day6.e1.trial1,6,Fake Tail,e1,Female,75.1223
fake.day6.e1.trial2,6,Fake Tail,e1,Female,75.7081
fake.day6.e1.trial3,6,Fake Tail,e1,Female,72.0867
fake.day6.f1.trial1,6,Fake Tail,f1,Female,72.6613
fake.day6.f1.trial2,6,Fake Tail,f1,Female,72.4345
fake.day6.f1.trial3,6,Fake Tail,f1,Female,72.8915
fake.day6.f1.trial4,6,Fake Tail,f1,Female,72.3041
fake.day6.f1.trial5,6,Fake Tail,f1,Female,72.8507
fake.day6.i1.trial1,6,Fake Tail,i1,Male,68.0654
fake.day6.i1.trial2,6,Fake Tail,i1,Male,71.2796
fake.day6.i1.trial3,6,Fake Tail,i1,Male,70.5983
fake.day6.i1.trial4,6,Fake Tail,i1,Male,68.7727
fake.day6.i1.trial5,6,Fake Tail,i1,Male,68.2866
fake.day6.j2.trial1,6,Fake Tail,j2,Male,68.4783
fake.day6.j2.trial2,6,Fake Tail,j2,Male,71.3112
fake.day6.j2.trial3,6,Fake Tail,j2,Male,64.2213
fake.day6.j2.trial4,6,Fake Tail,j2,Male,70.6115
fake.day6.j2.trial5,6,Fake Tail,j2,Male,68.4026
fake.day6.k1.trial1,6,Fake Tail,k1,Male,67.5966
fake.day6.k1.trial2,6,Fake Tail,k1,Male,72.0754
fake.day6.k1.trial3,6,Fake Tail,k1,Male,73.9828
fake.day7.a1.trial1,7,Fake Tail,a1,Female,75.0092
fake.day7.a1.trial2,7,Fake Tail,a1,Female,75.3142
fake.day7.a1.trial3,7,Fake Tail,a1,Female,75.4745
fake.day7.a1.trial4,7,Fake Tail,a1,Female,74.9613
fake.day7.a1.trial5,7,Fake Tail,a1,Female,75.1802
fake.day7.d1.trial1,7,Fake Tail,d1,Female,74.7942
fake.day7.d1.trial2,7,Fake Tail,d1,Female,77.7563
fake.day7.d1.trial3,7,Fake Tail,d1,Female,75.2844
fake.day7.d1.trial4,7,Fake Tail,d1,Female,74.7813
fake.day7.d1.trial5,7,Fake Tail,d1,Female,75.5122
fake.day7.f2.trial1,7,Fake Tail,f2,Female,76.2222
fake.day7.f2.trial2,7,Fake Tail,f2,Female,74.3204
fake.day7.f2.trial3,7,Fake Tail,f2,Female,75.8375
fake.day7.f2.trial4,7,Fake Tail,f2,Female,75.8988
fake.day7.f2.trial5,7,Fake Tail,f2,Female,74.7215
fake.day7.h2.trial1,7,Fake Tail,h2,Male,69.0868
fake.day7.h2.trial2,7,Fake Tail,h2,Male,67.7141
fake.day7.h2.trial3,7,Fake Tail,h2,Male,67.5571
fake.day7.h2.trial4,7,Fake Tail,h2,Male,67.256
fake.day7.h2.trial5,7,Fake Tail,h2,Male,66.0609
fake.day7.l1.trial1,7,Fake Tail,l1,Male,76.4628
fake.day7.l1.trial2,7,Fake Tail,l1,Male,75.2543
fake.day7.l1.trial3,7,Fake Tail,l1,Male,76.049
fake.day8.a1.trial1,8,Fake Tail,a1,Female,76.0852
fake.day8.a1.trial2,8,Fake Tail,a1,Female,66.4823
fake.day8.a1.trial3,8,Fake Tail,a1,Female,75.0671
fake.day8.a1.trial4,8,Fake Tail,a1,Female,71.8246
fake.day8.a1.trial5,8,Fake Tail,a1,Female,75.8828
fake.day8.d1.trial1,8,Fake Tail,d1,Female,75.3871
fake.day8.d1.trial2,8,Fake Tail,d1,Female,75.552
fake.day8.d1.trial3,8,Fake Tail,d1,Female,76.3444
fake.day8.d1.trial4,8,Fake Tail,d1,Female,72.9322
fake.day8.d1.trial5,8,Fake Tail,d1,Female,72.852
fake.day8.f2.trial1,8,Fake Tail,f2,Female,76.7154
fake.day8.f2.trial2,8,Fake Tail,f2,Female,77.7366
fake.day8.f2.trial3,8,Fake Tail,f2,Female,72.1305
fake.day8.f2.trial4,8,Fake Tail,f2,Female,77.1887
fake.day8.f2.trial5,8,Fake Tail,f2,Female,77.2619
fake.day8.h2.trial1,8,Fake Tail,h2,Male,77.6833
fake.day8.h2.trial2,8,Fake Tail,h2,Male,77.528
fake.day8.h2.trial3,8,Fake Tail,h2,Male,78.6647
fake.day8.h2.trial4,8,Fake Tail,h2,Male,75.9485
fake.day8.h2.trial5,8,Fake Tail,h2,Male,78.4622
fake.day8.k2.trial1,8,Fake Tail,k2,Male,77.8406
fake.day8.k2.trial2,8,Fake Tail,k2,Male,79.8952
fake.day9.a1.trial1,9,Fake Tail,a1,Female,77.3992
fake.day9.a1.trial2,9,Fake Tail,a1,Female,77.1085
fake.day9.a1.trial3,9,Fake Tail,a1,Female,77.3096
fake.day9.a1.trial4,9,Fake Tail,a1,Female,77.4092
fake.day9.a1.trial5,9,Fake Tail,a1,Female,77.5567
fake.day9.d1.trial1,9,Fake Tail,d1,Female,69.7707
fake.day9.d1.trial2,9,Fake Tail,d1,Female,72.4609
fake.day9.d1.trial3,9,Fake Tail,d1,Female,70.9899
fake.day9.d1.trial4,9,Fake Tail,d1,Female,71.1817
fake.day9.d1.trial5,9,Fake Tail,d1,Female,73.0768
fake.day9.f2.trial1,9,Fake Tail,f2,Female,76.5847
fake.day9.f2.trial2,9,Fake Tail,f2,Female,76.9271
fake.day9.f2.trial3,9,Fake Tail,f2,Female,76.8106
fake.day9.f2.trial4,9,Fake Tail,f2,Female,76.8143
fake.day9.f2.trial5,9,Fake Tail,f2,Female,77.1397
fake.day9.h2.trial2,9,Fake Tail,h2,Male,76.1578
fake.day9.h2.trial3,9,Fake Tail,h2,Male,77.2339
fake.day9.h2.trial4,9,Fake Tail,h2,Male,76.8605
fake.day9.h2.trial5,9,Fake Tail,h2,Male,77.7515
fake.day9.k2.trial1,9,Fake Tail,k2,Male,75.693
fake.day9.k2.trial2,9,Fake Tail,k2,Male,79.2099
fake.day9.k2.trial3,9,Fake Tail,k2,Male,78.6236
fake.day9.k2.trial4,9,Fake Tail,k2,Male,76.9172
fake.day9.k2.trial5,9,Fake Tail,k2,Male,78.7996
fake.day9.l1.trial1,9,Fake Tail,l1,Male,79.4882
fake.day9.l1.trial2,9,Fake Tail,l1,Male,81.343
fake.day9.l1.trial3,9,Fake Tail,l1,Male,80.9763
fake.day9.l1.trial4,9,Fake Tail,l1,Male,79.3602
fake.day9.l1.trial5,9,Fake Tail,l1,Male,78.906
fake.day10.a1.trial1,10,Fake Tail,a1,Female,74.2424
fake.day10.a1.trial2,10,Fake Tail,a1,Female,74.7314
fake.day10.a1.trial3,10,Fake Tail,a1,Female,74.9058
fake.day10.a1.trial4,10,Fake Tail,a1,Female,74.4198
fake.day10.a1.trial5,10,Fake Tail,a1,Female,75.5394
fake.day10.d1.trial1,10,Fake Tail,d1,Female,70.3759
fake.day10.d1.trial2,10,Fake Tail,d1,Female,69.0573
fake.day10.d1.trial3,10,Fake Tail,d1,Female,71.0342
fake.day10.d1.trial4,10,Fake Tail,d1,Female,67.867
fake.day10.d1.trial5,10,Fake Tail,d1,Female,70.1264
fake.day10.f2.trial1,10,Fake Tail,f2,Female,76.7498
fake.day10.f2.trial2,10,Fake Tail,f2,Female,75.8977
fake.day10.f2.trial3,10,Fake Tail,f2,Female,76.9372
fake.day10.f2.trial4,10,Fake Tail,f2,Female,76.453
fake.day10.f2.trial5,10,Fake Tail,f2,Female,76.903
fake.day10.h2.trial1,10,Fake Tail,h2,Male,77.6455
fake.day10.h2.trial2,10,Fake Tail,h2,Male,77.6261
fake.day10.h2.trial3,10,Fake Tail,h2,Male,76.4777
fake.day10.h2.trial4,10,Fake Tail,h2,Male,78.0621
fake.day10.h2.trial5,10,Fake Tail,h2,Male,76.7932
fake.day10.k2.trial1,10,Fake Tail,k2,Male,80.7601
fake.day10.k2.trial2,10,Fake Tail,k2,Male,80.6021
fake.day10.k2.trial3,10,Fake Tail,k2,Male,81.7928
fake.day10.k2.trial4,10,Fake Tail,k2,Male,80.8254
fake.day10.k2.trial5,10,Fake Tail,k2,Male,79.5793
fake.day10.l1.trial1,10,Fake Tail,l1,Male,78.6593
fake.day10.l1.trial2,10,Fake Tail,l1,Male,78.277
fake.day10.l1.trial3,10,Fake Tail,l1,Male,79.2078
fake.day10.l1.trial4,10,Fake Tail,l1,Male,77.9392
fake.day10.l1.trial5,10,Fake Tail,l1,Male,79.0046
fake.day11.a1.trial1,11,Fake Tail,a1,Female,70.5095
fake.day11.a1.trial2,11,Fake Tail,a1,Female,71.503
fake.day11.a1.trial3,11,Fake Tail,a1,Female,72.2128
fake.day11.a1.trial4,11,Fake Tail,a1,Female,73.2253
fake.day11.a1.trial5,11,Fake Tail,a1,Female,72.2049
fake.day11.d1.trial1,11,Fake Tail,d1,Female,71.3391
fake.day11.d1.trial2,11,Fake Tail,d1,Female,71.4495
fake.day11.d1.trial3,11,Fake Tail,d1,Female,71.6927
fake.day11.d1.trial4,11,Fake Tail,d1,Female,73.7056
fake.day11.d1.trial5,11,Fake Tail,d1,Female,70.5382
fake.day11.f2.trial1,11,Fake Tail,f2,Female,77.0028
fake.day11.f2.trial2,11,Fake Tail,f2,Female,75.5318
fake.day11.f2.trial3,11,Fake Tail,f2,Female,75.4035
fake.day11.f2.trial4,11,Fake Tail,f2,Female,75.8967
fake.day11.f2.trial5,11,Fake Tail,f2,Female,75.7876
fake.day11.h2.trial1,11,Fake Tail,h2,Male,77.1111
fake.day11.h2.trial2,11,Fake Tail,h2,Male,75.6459
fake.day11.h2.trial3,11,Fake Tail,h2,Male,75.8931
fake.day11.h2.trial4,11,Fake Tail,h2,Male,77.2934
fake.day11.h2.trial5,11,Fake Tail,h2,Male,75.8795
fake.day11.k2.trial1,11,Fake Tail,k2,Male,78.1947
fake.day11.k2.trial2,11,Fake Tail,k2,Male,78.2088
fake.day11.k2.trial3,11,Fake Tail,k2,Male,77.1525
fake.day11.k2.trial4,11,Fake Tail,k2,Male,76.9838
fake.day11.k2.trial5,11,Fake Tail,k2,Male,78.1212
fake.day11.l1.trial1,11,Fake Tail,l1,Male,76.1604
fake.day11.l1.trial2,11,Fake Tail,l1,Male,76.4817
fake.day11.l1.trial3,11,Fake Tail,l1,Male,75.9987
fake.day11.l1.trial4,11,Fake Tail,l1,Male,77.377
fake.day11.l1.trial5,11,Fake Tail,l1,Male,76.8604
fake.day12.a1.trial1,12,Fake Tail,a1,Female,72.9757
fake.day12.a1.trial2,12,Fake Tail,a1,Female,72.5214
fake.day12.a1.trial3,12,Fake Tail,a1,Female,78.1515
fake.day12.a1.trial4,12,Fake Tail,a1,Female,78.4083
fake.day12.a1.trial5,12,Fake Tail,a1,Female,78.3008
fake.day12.d1.trial1,12,Fake Tail,d1,Female,73.6532
fake.day12.d1.trial2,12,Fake Tail,d1,Female,70.6283
fake.day12.d1.trial3,12,Fake Tail,d1,Female,71.2305
fake.day12.d1.trial4,12,Fake Tail,d1,Female,70.5339
fake.day12.d1.trial5,12,Fake Tail,d1,Female,71.1724
fake.day12.f2.trial1,12,Fake Tail,f2,Female,77.4349
fake.day12.f2.trial2,12,Fake Tail,f2,Female,76.2892
fake.day12.f2.trial3,12,Fake Tail,f2,Female,77.4295
fake.day12.f2.trial4,12,Fake Tail,f2,Female,77.0904
fake.day12.f2.trial5,12,Fake Tail,f2,Female,76.0767
fake.day12.h2.trial1,12,Fake Tail,h2,Male,76.6484
fake.day12.h2.trial2,12,Fake Tail,h2,Male,74.124
fake.day12.h2.trial3,12,Fake Tail,h2,Male,75.7024
fake.day12.h2.trial4,12,Fake Tail,h2,Male,75.1315
fake.day12.h2.trial5,12,Fake Tail,h2,Male,73.8912
fake.day12.k2.trial1,12,Fake Tail,k2,Male,78.6649
fake.day12.k2.trial2,12,Fake Tail,k2,Male,76.8021
fake.day12.k2.trial3,12,Fake Tail,k2,Male,77.6893
fake.day12.k2.trial4,12,Fake Tail,k2,Male,77.5736
fake.day12.k2.trial5,12,Fake Tail,k2,Male,77.7093
fake.day12.l1.trial1,12,Fake Tail,l1,Male,79.6025
fake.day12.l1.trial2,12,Fake Tail,l1,Male,76.5108
fake.day12.l1.trial3,12,Fake Tail,l1,Male,78.3832
fake.day12.l1.trial4,12,Fake Tail,l1,Male,75.8119
real.day1.a2.trial1,1,Real Tail,a2,Female,77.9823
real.day1.a2.trial2,1,Real Tail,a2,Female,77.984
